utt_id,pos,n_hyp_words,word,ref_word,prob,band,correct,seg_mean_prob,seg_mean_word_prob,seg_is,seg_wer,seg_niv,ref_is_numeric,hyp_is_numeric,both_numeric
tRx7o3FZ6cc_3__4aadcba1_00_000000_000274,23,25,four,7,0.9986770153045654,green,0,0.697864480316639,0.697864480316639,2.26,80.0,P,True,True,True
Ni-ZW0sTWoQ_8__8698a787_00_000000_000219,6,28,six,06,0.989484429359436,green,0,0.8666807591915131,0.8571937254496983,2.71,43.5,P,True,True,True
tTlDMDvM0IY_2__c5b08d97_00_000000_000215,25,26,2000,000,0.9874354004859924,green,0,0.7920264508575201,0.7603964537668687,3.03,41.4,P,True,True,True
U4WdGcVtQck_0__0085f962_00_000000_000319,21,41,7,seven,0.9817865490913391,green,0,0.870404432885922,0.8478061197007575,3.87,32.6,Y,True,True,True
YMZw51yPwQY_5__18c7530c_00_000000_000245,21,26,three,5s,0.9758232831954956,green,0,0.6087019823025912,0.5321760209133992,1.49,104.2,N,True,True,True
-WQZsfHcPDM_7__5210cac1_00_000000_000258,4,18,million,billion,0.9649475812911987,green,0,0.8159423634923738,0.7300478054417504,2.66,57.9,P,True,True,True
JWhR-GLoVgk_7__5ef19db5_00_000000_000300,15,41,five,5,0.9618204236030579,green,0,0.7652799358146022,0.741379329412267,2.95,59.0,P,True,True,True
AXn1Y2oZL-Q_11__a59304c1_00_000000_000105,15,20,24,1024,0.9579561352729797,green,0,0.6715157145261764,0.6064874075353146,1.42,88.2,N,True,True,True
P2TuSKwbT-A_4__a5c36720_00_000000_000149,13,14,2000,2011,0.893939733505249,green,0,0.7937787306308747,0.6555137357541493,2.68,61.5,P,True,True,True
FJXHl-QbRPA_5__b4069833_00_000000_000231,4,8,hundred,130,0.8763672113418579,green,0,0.7153606470674276,0.5137408920563757,1.67,81.8,N,True,True,True
03pA-kxDy7U_10__355ca5db_00_000000_000163,16,24,one,1,0.8559918999671936,green,0,0.8593220350642999,0.8593220350642999,3.78,32.0,P,True,True,True
tTlDMDvM0IY_2__c5b08d97_00_000000_000215,24,26,be,200,0.9967623949050903,green,0,0.7920264508575201,0.7603964537668687,3.03,41.4,P,True,False,False
PgTwGZI2Xkg_14__485dbafd_00_000000_000202,19,23,of,2,0.9964028596878052,green,0,0.64661870691283,0.5943246023810428,1.09,105.0,N,True,False,False
t4idjGg8fpQ_8__c564d175_00_000000_000359,22,52,to,10,0.9955927729606628,green,0,0.8751625205660539,0.8547708802999785,4.37,22.2,Y,True,False,False
QzYx9bYHxKo_3__373a7e56_00_000000_000091,6,15,about,one,0.9897622466087341,green,0,0.5448104798793793,0.5448104798793793,1.37,100.0,N,True,False,False
JDpiI6GTCUM_7__a1a8fee8_00_000000_000122,5,8,seeds,seven,0.9892888069152832,green,0,0.8791625777880351,0.8024360463023186,1.56,76.9,N,True,False,False
nNK0Xhp8Ui0_0__32224d9a_00_000000_000076,6,7,now,9,0.9864975214004517,green,0,0.5840789679851797,0.5852958607886519,1.7,80.0,N,True,False,False
RNwqLsjObpM_12__fe7b3af6_00_000000_000106,2,6,do,two,0.9836915731430054,green,0,0.7682324747244517,0.7682324747244517,2.59,62.5,P,True,False,False
bxEt-92q-AI_0__4ded0458_00_000000_000300,5,23,year,5600k,0.9811206459999084,green,0,0.6103782677402099,0.524661401529675,2.19,80.0,P,True,False,False
6OvM5ZDA-TQ_0__b6c1e4a1_00_000000_000231,28,33,you,1156,0.9766358733177185,green,0,0.6367026996822693,0.5937383122403513,1.11,93.9,N,True,False,False
BeO-Kk65VUw_4__6c6f5b42_00_000000_000111,7,9,years,2020,0.974190354347229,green,0,0.6877024780426707,0.5390482230318917,1.31,100.0,N,True,False,False
lFyZ5YyAsk4_2__c33c5aec_00_000000_000243,7,11,force,four,0.973453164100647,green,0,0.6869876065424511,0.6196015612645582,0.4,94.9,N,True,False,False
PgTwGZI2Xkg_14__485dbafd_00_000000_000202,18,23,bunch,2,0.9713225364685059,green,0,0.64661870691283,0.5943246023810428,1.09,105.0,N,True,False,False
Qf7-17qYaZk_11__4bfee990_00_000000_000091,5,7,fault,7,0.9698826670646667,green,0,0.7320136889815331,0.6214593116726194,0.22,175.0,N,True,False,False
LgmWUxBAgS0_18__62e10907_00_000000_000104,0,12,truth,two,0.963492751121521,green,0,0.873919495514461,0.8529830525318781,3.04,46.7,P,True,False,False
Ni-ZW0sTWoQ_8__8698a787_00_000000_000219,5,28,zero,435,0.9523229002952576,green,0,0.8666807591915131,0.8571937254496983,2.71,43.5,P,True,False,False
KpcnLIhd47Q_10__6cfe1034_00_000000_000300,16,23,by,8,0.9510989189147949,green,0,0.6017254333063546,0.4482532970850234,0.76,96.6,N,True,False,False
5HRa9Zyqj0k_1__b6ab6e71_00_000000_000073,1,7,about,one,0.9503306746482849,green,0,0.5900924674102238,0.5900924674102238,2.14,70.0,P,True,False,False
IX59lXMx8mw_11__5e33012f_00_000000_000359,14,34,seconds,32,0.9448104500770569,green,0,0.8164485851967973,0.7540891206795898,3.44,52.9,P,True,False,False
-xcETtGjLZU_3__111246a8_00_000000_000245,27,45,per,16th,0.9436048865318298,green,0,0.7107609205302738,0.6300060798724493,1.85,82.4,N,True,False,False
4MCGXRJKA84_3__af6bff4f_00_000000_000213,18,21,to,1,0.940532386302948,green,0,0.5585871843993664,0.5111115764649141,1.35,91.7,N,True,False,False
IX59lXMx8mw_11__5e33012f_00_000000_000359,2,34,millimeters,3mm,0.9386290907859802,green,0,0.8164485851967973,0.7540891206795898,3.44,52.9,P,True,False,False
6OvM5ZDA-TQ_0__b6c1e4a1_00_000000_000231,23,33,if,1155,0.936332106590271,green,0,0.6367026996822693,0.5937383122403513,1.11,93.9,N,True,False,False
d6g581tJ7bM_2__106bbe5f_00_000000_000359,10,40,the,one,0.9332482218742371,green,0,0.7503334472471095,0.723821216635406,3.26,57.9,P,True,False,False
rcLS6J9QT0E_0__f1d2346e_00_000000_000097,3,9,express,i02xpress,0.9303261637687683,green,0,0.5750581432472576,0.5670097238487668,1.06,140.0,N,True,False,False
vTlV5MoRZ7s_0__d05a1352_00_000000_000193,7,16,of,three,0.9268448948860168,green,0,0.593032305962161,0.5175155168399215,1.38,85.0,N,True,False,False
3KfgI8ATgtI_0__a3d2fe02_01_000300_000427,2,12,authority,30,0.9104844331741333,green,0,0.6760488301515579,0.5867278637985388,0.85,112.5,N,True,False,False
PyKTYROSy2E_0__58f43672_00_000000_000158,8,10,washington,one,0.908123791217804,green,0,0.6235486646848065,0.5720605760812759,0.69,100.0,N,True,False,False
hZZCD0xhWds_1__2a88900c_00_000000_000142,16,19,to,3,0.8991579413414001,green,0,0.6362787327170372,0.5861082449555397,1.06,100.0,N,True,False,False
3rMBdSM6TPk_12__295e6cec_00_000000_000091,8,9,time,90s,0.8955417275428772,green,0,0.6709495261311531,0.6349415613545312,1.28,82.4,N,True,False,False
