utt_id,topic,wer_baseline,wer_topic,delta_wer,ref,hyp_baseline,hyp_topic
-3xW7Mihgjk_0__c4fdf51c_00_000000_000093,Education/Academic,53.8,15.4,38.5,educational neuroscience if you want to learn more about it one way is,international courts and if you learn more about it in one way,international consensus if you want to learn more about it one way is
V8xMY1yTxSU_0__1343076b_00_000000_000196,Other,92.3,65.4,26.9,as a spy she's helping the greasers because there's a what right the big rumble is going to come down between the socias and the greasers,in spanish he told me that you need to speak english because this is america and when the big rebels come down between soldiers and,and spaghetti and tomato sauce and zucchini and what and the meatballs are going to come down between the sauces and
KP5OQX5-A5U_0__11b48845_00_000000_000104,Other,80.0,53.3,26.7,history and her name was mrs moses i've told this story before but it's a,this video i was smoking cigarettes and i've told this to performers,this video i was smoking cigarettes and i've told this story before but it's
ef5qg-h3h9A_6__8339f672_00_000000_000229,Other,84.4,59.4,25.0,when you know how to grow instagram when you know how to get millions of impressions when you can consistently generate a million impressions a week on your profile when you can,where you go out and grow a strawberry where you grow out and get peaches from branches where you can see the,when you go out to grow a crop when you grow out to get pesticides when you know it's just to generate a pesticide profile when you can see
GEvjYLuudxs_12__7eb6c4c3_00_000000_000200,Other,100.0,76.9,23.1,and she loves the acting on it to me csi miami is excretable,my auntie and she loves the idea of it with me because she's a yam i mean yam is edible,my auntie and she loves the idea on it to me it's just a yam my aunty is adorable
iwpcigkAeco_25__28676efc_00_000000_000120,Other,83.3,61.1,22.2,which is the t5i line the 700d line so i think we're going to see a 700d line,1995 i think that's a good year to start so i think we can see,cnn is on cnn 5 i think we're going to see
494GB5eMwl4_20__8f4d028d_00_000000_000149,Other,85.7,64.3,21.4,which means it's only visible from within the package that it was defined in,who he is because it's already familiar from the manga that we saw earlier,he means it's already familiar from the manga that we saw earlier
f3SWHMY48Fc_11__aab109e0_01_000239_000333,Other,100.0,78.6,21.4,that we're going to work on for next week i'll probably put something up,but it's also about putting yourself in a position to,we're going to talk a little bit about prison reform and
VMygSsdhn3g_9__46e7486a_00_000000_000076,Other,90.9,72.7,18.2,and i had a degree of bitterness about that and resentment,i don't know but,i don't know about that but
SjHUpX28EPo_4__6b880e6b_00_000000_000197,Other,52.6,36.8,15.8,we found that for glucose and the glucose in maltose the same maximum rate of oxidation was found with,we found that for girls aged 10 to 12 years the same maximum brain volume of cortical thickness was found with,we found that for girls and boys and adults the same maximum brain of cortisol was found with
Xv-Iawog5-g_0__d64ac555_00_000000_000131,Other,92.3,76.9,15.4,let's try sketchy edges this one's pretty fun so if we click on,trying to catch the catching agents which was really fun so if you're going to,it's catching catching agents which is more fun so if we can get on and
ciCGeYPBW48_18__1a88bab0_00_000000_000090,Other,100.0,85.7,14.3,you've got the rain outside i don't,when i was 18 years old i,the speaker is discussing other
eUIoJsvKJ4E_0__f480a719_00_000000_000359,Technology,59.4,46.9,12.5,to the word spelling yeah you have to learn spelling i know that english spelling is very difficult i have a resource about that too on our engvid website about 50 comm,so worried about smelling that you have to know the smell and i know that the genie smell is very difficult and i have to warn you about that too on our website about 15 carbon,word is belly you have to know the belly i know that the chinese belly is very difficult and i have a video about that too on our website about 15 carpets
FHDYiJR52js_4__d77ee28c_00_000000_000137,Other,100.0,87.5,12.5,by the judge below the sentencing guidelines range,i'm going to tell you,the speaker is discussing other
uIC7MmQqn3k_8__12177a7f_00_000000_000108,Other,100.0,87.5,12.5,the constitution after the constitution has been written,i think it's important to remember that,the speaker is discussing other
1a7VSPGx9wg_0__2a78f335_00_000000_000091,Other,100.0,87.5,12.5,it's one of the secrets that i've discovered,when i was in high school i,the speaker is discussing other
97o2diCaVFE_4__29e6f544_00_000000_000127,Medical/Health,55.6,44.4,11.1,is the first time i ever heard an ad for bariatric surgery i mean they even had a,first time i ever learned i had to memorize the periodic table i mean they even had a,the first time i ever heard i had a parasite in my stomach i mean they even had a
F8h0Xz20U8w_0__f1c45053_00_000000_000072,Other,70.0,60.0,10.0,and import fees before shipping a whole lot of sets,taking more fish but there's still a whole lot of sense,taking more fees but there's still a whole lot of sense
o6Zwa1rEWpM_1__2e8fce13_01_000300_000379,Other,80.0,70.0,10.0,and how we can kind of turbocharge this whole thing,and how he got into the urban church so,and how we got into the urban church so
hZZCD0xhWds_1__2a88900c_00_000000_000142,Other,100.0,90.9,9.1,today we're going to give you a behind the scenes look at what we've been doing in the stage 3 colts lesson,ted i'm really glad you're here thank you so much for being here it's an honor to have you,i'm really excited to be here today because i think that one of the most important things
bUDhJQO8jAQ_18__6ee82b18_00_000000_000117,Politics/News,100.0,90.9,9.1,or emmy awards and say and i want to thank you,i'm going to tell you a story,the speaker is discussing politics and news
3Tjnsb7aLBM_6__2a99968d_00_000000_000090,Other,100.0,90.9,9.1,we store water in the summer season when it's very cold,2001 a space odyssey was,the speaker is discussing other
TMl5agpvrug_16__23169101_01_000299_000388,Technology,72.7,63.6,9.1,interchangeable lens it's difficult to get different looks from this camera,judicial landscape is difficult to navigate from this vantage point,changeable lens is difficult to influence from the outside
tUcgHemnJiQ_0__2fc132c1_00_000000_000177,Technology,73.9,65.2,8.7,is neither i actually use the overhead lights which are mostly fluorescent which i know is a big no no but this camera,together i actually used the overheard ghost whisperer music for that scene which i know is about to go on but the scene runs,together i actually used the overhead projector and music visualizer which i know is about to go on but the team runs
eAEsrXUkMWY_18__e8f9d0fa_00_000000_000172,Other,82.6,73.9,8.7,and then you divide through by a in order to make it monic so the leading coefficient is 1 and then you complete,use a lab puppy and in order to make money to get off of the streets one they should be,you're slamming your hand in order to make money to get over the finish line and then you should be
rLatQdzLXHM_2__d6cf7206_00_000000_000300,Other,87.5,79.2,8.3,and furthermore all the nisam the wondrous remarkable nisam the klaali sral had that was bestowed upon them from the time they left mithra,and furthermore who said this system wasn't just a remarkable system it was a dangerous system as i was misinterpreted from the top down from the,and furthermore who said this system wasn't just remarkable it was remarkably dangerous as it was misused and abused from the top down from the
nFXWpdkMOVI_0__2be0910b_00_000000_000110,Entertainment,100.0,91.7,8.3,scale this is the cheapest best one i'll show you guys after,cell so that intership experience will ensure that everything,so that the ship's speed will increase and after a little
Rh2wBBxOZq8_4__ae794778_00_000000_000091,Business/Finance,100.0,91.7,8.3,and so that is where we get our ionic product of water,i don't need a brother to worship god,the speaker is discussing business and finance
5mvz9XnwJWw_10__861de884_00_000000_000239,Entertainment,92.0,84.0,8.0,auto suggest box we're not implementing search i just want you to be able to successfully use the visual state manager to show and hide,i'm going to suggest please with the prime minister's association one you would have been able to a successful history of short term management to show,i'll suggest please with the prime minister's association one you would have been able to succeed with the story of sir david attenborough showing
Jj2TRJmOunU_1__a16a1273_00_000000_000126,Cooking/Food,100.0,92.3,7.7,and urological association in creating this guideline the panel aimed to provide directions,when i was 19 years old i was,the speaker is discussing cooking food
DFGmd7zg5gs_6__5747bd11_01_000300_000416,Other,100.0,92.3,7.7,possibly make it because i hated history when i was a little girl,i'm a manic depressive with bipolar disorder,ma'am i'm sorry i didn't understand what you said
EMfcKvHA5Uc_0__b74dba61_00_000000_000078,Other,100.0,92.3,7.7,china to take off to cross the pacific ocean can you tell us,i don't think that's a good idea,the speaker is discussing other
-ioPqewVHYw_8__02580a1f_00_000000_000119,Other,96.3,88.9,7.4,their oar was the same you know each was the same and he was in the middle and he didn't know whether to suicide left or right,ruled with an iron fist in a velvet glove my name is kim bowie and in the words of nikki giovanni,role was damon in greys anatomy today my name is camille and in the words of derek shepherd
iBLXDIoM4Ho_14__50e343d6_00_000000_000349,Technology,85.7,78.6,7.1,because it's so much kind of simpler to get started and hosted and everything and then i played with a few frameworks like codeigniter and eventually wrote laravel,maybe it's because i'm a little bit that i have some weird guitar noises and everything and then i play with a full five piece orchestra and if you see the whole interview,maybe it's a little bit that i have some guitar hero holes and everything and then i play with a full five piece orchestra and if you see the whole interview
ih6EhNsHCfg_21__13f0ea4b_00_000000_000072,Other,100.0,92.9,7.1,to get help along the way for instance if you're not a graphic designer,when i was a little boy i was,the speaker is discussing other
uS43APrsXYI_3__a5ed80c7_00_000000_000148,Other,100.0,93.8,6.2,way to the left to make the shadows really dark all the way to the right,when i was a little girl i always wanted to be a princess,the speaker is discussing other
Ir8ayIkhJ2g_12__ffdb9f1f_00_000000_000132,Cooking/Food,100.0,93.8,6.2,and now we're on to beat two so this is half of a half of a,when i was a little girl my grandmother taught me to,the speaker is discussing cooking food
jLBAUGvLuq8_0__fdcd8f16_00_000000_000183,Other,88.2,82.4,5.9,look at this here's two dollars and a self addressed stamped envelope first things first the bender,look at this there are two arrows instead of intersecting at the same time they're parallel to each other,look at this straws you see instead of intersecting at the same time topper first straw first they're better
CR8NZiY7dK4_0__dbe2e9c7_00_000000_000137,Business/Finance,100.0,94.1,5.9,to buy it from the bank as an individual because they do turn it over to their,when i was a teenager i was,the speaker is discussing business finance
EDz9ipJCdgE_3__bbcd03c6_00_000000_000121,Cooking/Food,94.4,88.9,5.6,they've actually succeeded to do is make a whole bunch of people that were living and breathing in,with a french accent to someone who doesn't even speak french,in the fridge and do something that no one has done before
jdut-ApF8Fw_9__02fb4fb8_00_000000_000161,Cooking/Food,78.9,73.7,5.3,an area that market came very close to testing just recently in price action and is a great area,the man who came very close to assassinating george w,the man that came very close to assassinating president george w
kmtHU2gBhoQ_9__6edfec6d_00_000000_000148,Cooking/Food,80.0,75.0,5.0,it's also almost stock android but there is slight amount of customization i would say that it's a great feature,also almost got aggravated i think that's like the height of absurdity position i would say,also almost got aggravated i think that's like the height of absurdity i would say
053zL8bRFHI_4__c85adac5_00_000000_000281,Entertainment,88.1,83.3,4.8,joking is that it oh my gosh i thought i had so many more books on here i do have a lot more books on here i just have ones i haven't even started reading yet so anyways that's all for here,so like saying oh my gosh i think i'm in love with someone personally i don't get to be in love like i used to have once again when i was a teenager and so anyone can say it all over again,so it's like saying oh my gosh i think i'm in love personally i don't like being in love i just have once again when i first started playing it and so anybody can sing it over it
QpJQl21p00o_1__1c88b238_00_000000_000129,Technology,85.7,81.0,4.8,and in the last i don't know if you pay attention to the last thing the code is actually from benjamin,i stood on the runway from bangalore to london the cockpit of the aircraft was filled,i saw the radar go from black to the last thing it recorded the altitude of my flight
tzZ7n7KdKEc_0__f6982826_00_000000_000198,Cooking/Food,62.5,58.3,4.2,set it apart not just from other network marketing companies but from anything i've ever looked at in my life feature number one is,i'm better not just from a health care perspective but in every aspect of my life adventure number one is,i'm better not just from a healthcare perspective but also from a financial perspective from anything i've ever looked at in my life venture capital one is
RPrHf7Km5CM_15__76886ad7_00_000000_000213,Medical/Health,100.0,96.3,3.7,or even death now what are the symptoms how do you know a baby may be suffering from shaken baby syndrome well the signs are they're very,i think it's important for us to understand that,the speaker is discussing medical health
41wmieLCJas_0__8eac8c01_00_000000_000279,Other,85.3,82.4,2.9,let's say if your mother was the narcissist she might dig in on your spouse or significant other in order to make you trust them less so that you'll be more connected to her,stephanie's grandmother was a seamstress and she made teddy bears and stuffed animals so in order to make teddy seem like a sexy woman she would,steve jobs' mother was an artist and she made teddy bears and stuffed animals in order to make ends meet when she was a little bit poorer she would all
TkvjDZseD4k_3__f924845d_00_000000_000327,Other,81.2,81.2,0.0,we can gather observations on as far away as a distant galaxy or as zoomed in as the hydrogen wave function there are certain questions that we cannot answer what lies outside of the natural world well we have to think about that and i think that's why,contraction syndrome is very rare it's a dissecting aortic aneurysm that's an arterial infection there's still a lot of questions we don't answer what causes outside of the natural,contraction syndrome is very rare it's a dissecting aortic aneurysm which is an aging related condition that we don't answer what gets outside of the natural
4YkxwC7IjUc_6__ef8643a5_00_000000_000325,Politics/News,69.7,69.7,0.0,to give me the insurance policy at all because i had very high cholesterol high triglycerides and hypertension and meanwhile at the same time i had horrible irritable bowel syndrome i mean like,me an interest in psychology because i have a very high iq i trained as a clinical psychologist and meanwhile at the same time i got horrible grades from my math teachers maybe like,me an interest in psychology because i have a very high iq i trained as a clinical psychologist and meanwhile at the same time i got horrible grades from my math teachers maybe like
G5yrJKEvoK0_0__9416ec3e_00_000000_000309,Other,73.0,73.0,0.0,and 10 megabits per second is so today so slow that we would never have a new card in fact i don't think you could buy a brand new card that didn't support 100 megabits per second,the next time i get people saying it's so easy so so that we don't even have to go to the gym in fact i think you can buy a new car that does the workout for you,the next time i get people saying it's so easy so so that we don't even have to go to the gym in fact i think you can buy a new car that does the workout for you
FWQSuskE5UA_6__aa7b2c5a_00_000000_000294,Other,87.5,87.5,0.0,and i will give this file the name of the component the name my component shall have that's just a naming convention which is kind of used in the vue js world,david irving is a holocaust denier a neo nazi a member of the british national front which is a fascist organization in the united kingdom,david irving is a holocaust denier a neo nazi a member of the british national front which is a fascist organization in the united kingdom
3PE65tkpaGw_0__dde8ee01_00_000000_000291,Other,50.0,50.0,0.0,i bought a custom well not a custom this is off the shelf but it's much more expensive router bit meant to do this exact operation,putting on a costume well our costumes of the show but it's much more expansive around being meant to do this exact operation,putting on a costume well our costumes of the show but it's much more expansive around being meant to do this exact operation
39P4BMvvLdM_1__d4bea8c7_00_000000_000278,Cooking/Food,60.0,60.0,0.0,tk object which is the main object for tkinter i'm going to go ahead and extend that and so i need to create my initializer,cake object which is the main object for dissection i'm going to cut it in half into two equal halves,cake object which is the main object for dissection i'm going to cut it in half into two equal halves
SGkHpHsPBi8_1__808bda52_00_000000_000275,Other,61.5,61.5,0.0,obsolete instead of just throwing it away you can resell these as gaming cards or use them as gaming cards yourself as they're still very capable,obsidian instead of just throwing it away you know what i'm saying it can be hard to do something that's against yourself and still very capable,obsidian instead of just throwing it away you know what i'm saying it can be hard to do something that's against yourself and still very capable
kXvKa4CU18E_16__461b3cb7_00_000000_000270,Entertainment,62.5,62.5,0.0,but let's be honest here for a moment i started a photography shooting film the workflow,let's be honest for a moment alice in wonderland is a children's film the word of,let's be honest for a moment alice in wonderland is a children's film the word of
dp4NoDXy8rc_7__65be6d70_00_000000_000214,Medical/Health,76.3,76.3,0.0,and if we don't listen then it will start yelling and if we don't listen then then we'll start wrecking the house so treat this sensation treat this pain like a little kid trying to get your attention,although recently we started an alliance even though recently that didn't work out at the house so during this tedxweekend again trying to get our attention,although recently we started an alliance even though recently that didn't work out at the house so during this tedxweekend again trying to get our attention
uUPJlJ00YdE_8__fb2f92c6_00_000000_000264,Other,80.6,80.6,0.0,his own shoe made i was all about it plus you guys know how i am with mids with straps and all that so i got the shoe in both colorways,to shoot my character you know i was all about it because that's all i wanted to do was to do stunts all day so i got to do a computer generated one,through juice my character you know i was all about it because that's the only way i knew how to do stunts at the time so i started doing computer generated
oxz8ReSPUt4_0__f5a67768_00_000000_000106,Other,87.5,87.5,0.0,so he talks about books and in this particular one he talks about russian literature with reference to other world literature and so forth,is that so when a lesbian marries another lesbian that lesbian relationship becomes more interesting and so forth,is that so when a lesbian marries another lesbian that lesbian relationship becomes more interesting and so forth
lRG5o4FKeI0_11__e5d99763_00_000000_000256,Other,68.4,68.4,0.0,pouches they come with too so these are my speed lights these are the yn562s that i use here,pounds and i'm with you so these are my speaking cases on the why in 562 little kids,pounds and i'm with you so these are my speaking cases on the why in 562 little kids
L2rxYUtuTSE_3__86539865_00_000000_000257,Other,63.6,63.6,0.0,that man from the intellectual point of view logos but then pathos you trust that man because you're feeling that the intention,be the intellectual product of your own but then by those you are sitting back because you are feeling that the teacher,being the intellectual product of your own but then by those you are sitting back because you are feeling that the injustice
-0dKADuskCI_6__0959cf94_00_000000_000128,Other,68.8,68.8,0.0,then we have the costal cartilages costal always refers to ribs so these are right here,that we have they cause our hormones to go haywire so these are my heroes,that we have they cause our hormones to go haywire so these are my heroes
xz7UP-Sgoko_4__5437f4cd_00_000000_000250,Education/Academic,90.5,90.5,0.0,that visit ended quite quickly and with awkwardness all around there's not much to do we went to the second school,that wasn't exactly what i had in mind with no work so i decided to do,that wasn't exactly what i had in mind with no work so i decided to do
cw0gLZHJOiE_7__b7618a8d_00_000000_000246,Entertainment,90.5,90.5,0.0,controller showchatcontroller like that wouldn't that be nice well we can't do that right now because we don't have a reference,all the things i should have done or not done that would have led to this outcome we won't have any reference,all the things i've shown you so far and then what's going to happen next well we're going to have a reference
igP8qs4tve8_6__9a6b56fa_00_000000_000246,Other,77.1,77.1,0.0,the answer is no i cannot just leave it there because hydrogen only wants to have one bond and now it has two if i make that bond i'm going to have to break it,like it's just no idea i just didn't even know there was such a word and now i do so if i play that part i'm becoming familiar with,it's just no idea i just didn't even know there was such a word and now i do so if i play that part i'm becoming familiar with
Ht6lHE7prro_34__d6e615b5_00_000000_000193,Other,84.6,84.6,0.0,the old and new testament together the 66 books are like a symphony with melody and with harmonies that just match up wonderfully there are also,the only two chromosomes that i use is the y chromosome and the mitochondrial dna because this magic wonder thing there are also,the only two chromosomes that i use is the y chromosome and the mitochondrial dna because this magic wonder thing there are also
uwMeYyFPK9M_0__9a23e3ab_00_000000_000200,Other,95.5,95.5,0.0,stage illusion this is a magic trick so don't be stupid and try it at home this is just a magic illusion,the story of how i got to where i am today it all started when i was,the speaker is discussing other
NzP4ZzCCTXU_0__725fc750_00_000000_000239,Other,51.0,51.0,0.0,but before we tell you more about the redmi 5 if you do love the fact that we bring to you guys the hottest leaks out there as soon as we can then toss a like and subscribe to our channel we will see you in the next video,if we can tell you more about dorothy mfi if you don't love the fact that we bring to you guys the honest needs out there as soon as we can then it costs,if we can tell you more about dorothy mfi if you don't love the fact that we bring to you guys the honest needs out there as soon as we can then it costs
czzae0bKoDA_6__cc4f9fe5_00_000000_000232,Other,100.0,100.0,0.0,but that can be useful if you want to have some if else check in your loop checking if you're near the end,the gap between some of the fastest growing economies in the world like china and india and the slowest declining economies,
6OvM5ZDA-TQ_0__b6c1e4a1_00_000000_000231,Other,93.9,93.9,0.0,i hear a lot of people always ask me does this cooler work on 1156 it's like but it says it's only for 1155 yes because 1155 and 1156 are exactly the same,if you're going to do a tour where you love 50 cities but you just don't have the time to visit them because if you visit five cities you can sell the same,you don't have to do one in love 50 states but you just sort of have to have the eyes because if you have the different states you can sell the same
dZKB1OF7C68_0__c8e09b42_00_000000_000230,Other,92.0,92.0,0.0,menu buttons being right here they're at the top which by the way i think the window thing blends in real nicely seamlessly almost with,billions of dollars of the time but by the way i think what you think of being a civil taxpayer is that we're just one thing,billions of dollars of the time but by the way i think what you think of being a civil taxpayer is that we're just one thing
thFhHAzyXos_19__4bb8a579_00_000000_000227,Education/Academic,74.1,74.1,0.0,i know you're studying with john parakos and core energetics and probably many of our viewers have not heard of core energetics what is the basis of,what you see is not parallelograms and quadrilaterals and cubes and pyramids of various sizes of cubes what is the basis of this,what you see is not parallelograms and quadrilaterals and cubes and pyramids of various sizes of cubes what is the basis of this
tL9yAuajqpk_3__691c14f2_00_000000_000219,Other,43.5,43.5,0.0,the thing is i just acquired this ammo last week so i don't really know the conditions under which it's been stored but,the highest score on the quiz last week so i don't really know the conditions under which this was measured but,the highest score on the quiz last week so i don't really know the conditions under which this was measured but
